Word, deceptive, truthful, negative, positive
affinia, 0.0011640813232626764, 0.0005183092751444787, 0.0007866910386635507, 0.000897638282725106
chicago, 0.016351281843038523, 0.0075932308808666134, 0.008884981142553044, 0.015878911690964805
worst, 0.0009745797124989848, 0.0004923938113872547, 0.0012494504731715218, 3.0953044231900206e-05
hotels, 0.002896667478816427, 0.002850701013294633, 0.002892246465674819, 0.002847680069334819
i, 0.06150680852215815, 0.03884728017207868, 0.05444364746986279, 0.04389141672083449
stayed, 0.005251901784022307, 0.0053385855339881305, 0.004303662740924131, 0.006623951465626644
life, 0.00037900322152738296, 0.0002332391738150154, 0.00027765566070478263, 0.00034048348655090226
treated, 0.0005414331736105471, 0.0004405628838728069, 0.0003702075476063768, 0.0006500139288699043
guest, 0.0008933647364574028, 0.0007515484489594941, 0.0008098290103889493, 0.0008357321942613056
desk, 0.004169035436801213, 0.0046129525487858605, 0.005691941044448044, 0.002661961803943418
unaccommodating, 5.414331736105471e-05, 2.5915463757223936e-05, 4.62759434507971e-05, 3.0953044231900206e-05
asked, 0.0016513711795121688, 0.0018918288542773473, 0.0024063490594414495, 0.0009285913269570063
smoke, 0.0008662930777768754, 0.00033690102884391117, 0.0009023808972905436, 0.00018571826539140124
free, 0.0011099380059016216, 0.0022028144193640344, 0.0014114162752493116, 0.0020119478750735137
room, 0.02314626817185089, 0.02158758130976754, 0.025683148615192393, 0.01789085956603832
error, 0.00013535829340263677, 0.00012957731878611968, 0.00020824174552858696, 3.0953044231900206e-05
reservation, 0.0016513711795121688, 0.001606758752947884, 0.0025220389180684423, 0.0004333426192466029
bellhop, 0.00018950161076369148, 7.774639127167181e-05, 0.00013882783035239131, 0.00012381217692760083
strange, 0.00010828663472210943, 0.00010366185502889574, 0.00013882783035239131, 6.190608846380041e-05
reason, 0.0003248599041663283, 0.0002073237100577915, 0.00032393160415557974, 0.00018571826539140124
luggage, 0.00046021819756896507, 0.00033690102884391117, 0.0006247252365857609, 9.285913269570062e-05
elevator, 0.00027071658680527354, 0.0010625340140461813, 0.0009023808972905436, 0.0003714365307828025
long, 0.0014618695687484773, 0.0011143649415606292, 0.0016196580207778987, 0.0008357321942613056
hallway, 0.00046021819756896507, 0.00033690102884391117, 0.000671001180036558, 3.0953044231900206e-05
myself, 0.00046021819756896507, 0.00025915463757223935, 0.0003702075476063768, 0.00034048348655090226
bad, 0.0012452962993042584, 0.001218026796589525, 0.0018278997663064855, 0.0004333426192466029
stay, 0.011694956549987819, 0.009381397880115064, 0.00909322288808163, 0.012412170736991983
ordered, 0.0005685048322910744, 0.0003628164926011351, 0.0005090353779587681, 0.0004023895750147027
service, 0.006497198083326565, 0.005701402026589266, 0.0065249080265623914, 0.005509641873278237
hour, 0.0014618695687484773, 0.0006738020576878223, 0.0015965200490525, 0.00034048348655090226
half, 0.00046021819756896507, 0.00038873195635835906, 0.0006247252365857609, 0.00015476522115950104
delivered, 0.00027071658680527354, 0.0005442247389017027, 0.00046275943450797103, 0.00034048348655090226
didnt, 0.0026800942093722084, 0.002798870085780185, 0.00335500590018279, 0.0019190887423778129
air, 0.0008933647364574028, 0.0004923938113872547, 0.0009486568407413406, 0.00034048348655090226
conditioning, 0.00018950161076369148, 0.00010366185502889574, 0.00020824174552858696, 6.190608846380041e-05
completely, 0.0005414331736105471, 0.0004405628838728069, 0.0005553113214095653, 0.0004023895750147027
miserable, 0.00013535829340263677, 7.774639127167181e-05, 0.00016196580207778987, 3.0953044231900206e-05
traveling, 0.0004331465388884377, 0.0002332391738150154, 0.00023137971725398552, 0.00046429566347850313
kind, 0.0006226481496521292, 0.0005442247389017027, 0.0006247252365857609, 0.0005262017519423036
business, 0.0021657326944421883, 0.001969575245549019, 0.0016196580207778987, 0.002661961803943418
hope, 0.00027071658680527354, 0.00012957731878611968, 0.00025451768897938407, 0.00012381217692760083
decide, 0.00018950161076369148, 7.774639127167181e-05, 0.00011568985862699276, 0.00015476522115950104
choose, 0.0003248599041663283, 0.0004664783476300308, 0.00034706957588097825, 0.00046429566347850313
hotel, 0.028560599907956362, 0.023712649337859902, 0.024040352622689096, 0.028817284179899094
surprised, 0.0002977882454858009, 0.00033690102884391117, 0.0003007936324301812, 0.00034048348655090226
city, 0.002517664257289044, 0.0020473216368206907, 0.0012031745297207247, 0.003714365307828025
trip, 0.0018138011315953328, 0.0014512659704045403, 0.0012263125014461231, 0.0021667130962330144
negative, 0.00018950161076369148, 0.0003628164926011351, 0.00020824174552858696, 0.0003714365307828025
experience, 0.0036817455805517206, 0.0020473216368206907, 0.0029847983525764133, 0.002661961803943418
affina, 0.00010828663472210943, 0.00012957731878611968, 9.25518869015942e-05, 0.00015476522115950104
